date,parameter,unit,value
1993-03-15,T_max_h1,°C,15.11000
1993-03-16,StrGlo,W/m2,148.49000
1993-03-16,T,°C,11.64000
1993-03-16,p,hPa,976.86000
1993-03-16,T_max_h1,°C,15.90000
1993-03-17,StrGlo,W/m2,50.27000
1993-03-17,T,°C,12.04000
1993-03-17,p,hPa,976.72000
1993-03-17,T_max_h1,°C,13.36000
1993-03-18,StrGlo,W/m2,185.15000
1993-03-18,T,°C,13.37000
1993-03-18,p,hPa,973.59000
1993-03-18,T_max_h1,°C,19.69000
1993-03-19,StrGlo,W/m2,155.50000
1993-03-19,T,°C,12.16000
1993-03-19,p,hPa,973.98000
1993-03-19,T_max_h1,°C,15.81000
1993-03-20,StrGlo,W/m2,158.60000
1993-03-20,T,°C,10.94000
1993-03-20,p,hPa,970.04000
1993-03-20,T_max_h1,°C,16.19000
1993-03-21,StrGlo,W/m2,107.53000
1993-03-21,T,°C,12.73000
1993-03-21,p,hPa,965.25000
1993-03-21,T_max_h1,°C,17.69000
1993-03-22,StrGlo,W/m2,68.40000
1993-03-22,T,°C,11.49000
1993-03-22,p,hPa,966.02000
1993-03-22,T_max_h1,°C,14.07000
1993-03-23,StrGlo,W/m2,45.08000
1993-03-23,T,°C,9.20000
1993-03-23,p,hPa,970.64000
1993-03-23,T_max_h1,°C,11.32000
1993-03-24,StrGlo,W/m2,50.77000
1993-03-24,T,°C,4.75000
1993-03-24,p,hPa,971.45000
1993-03-24,T_max_h1,°C,6.06000
1993-03-25,StrGlo,W/m2,120.92000
1993-03-25,T,°C,3.88000
1993-03-25,p,hPa,972.01000
1993-03-25,T_max_h1,°C,6.52000
1993-03-26,StrGlo,W/m2,125.24000
1993-03-26,T,°C,2.44000
1993-03-26,p,hPa,970.85000
1993-03-26,T_max_h1,°C,5.48000
1993-03-27,StrGlo,W/m2,102.66000
1993-03-27,T,°C,0.77000
1993-03-27,p,hPa,968.93000
1993-03-27,T_max_h1,°C,3.21000
1993-03-28,StrGlo,W/m2,165.52000
1993-03-28,T,°C,0.64000
1993-03-28,p,hPa,965.35000
1993-03-28,T_max_h1,°C,2.98000
1993-03-29,StrGlo,W/m2,212.99000
1993-03-29,T,°C,2.29000
1993-03-29,p,hPa,967.42000
1993-03-29,T_max_h1,°C,6.97000
1993-03-30,StrGlo,W/m2,209.11000
1993-03-30,T,°C,6.21000
1993-03-30,p,hPa,969.31000
1993-03-30,T_max_h1,°C,12.40000
1993-03-31,StrGlo,W/m2,205.71000
1993-03-31,T,°C,11.04000
1993-03-31,p,hPa,967.75000
1993-03-31,T_max_h1,°C,17.61000
1993-04-01,StrGlo,W/m2,189.25000
1993-04-01,T,°C,11.71000
1993-04-01,p,hPa,960.09000
1993-04-01,T_max_h1,°C,18.65000
1993-04-02,StrGlo,W/m2,37.11000
1993-04-02,T,°C,4.69000
1993-04-02,p,hPa,961.21000
1993-04-02,T_max_h1,°C,7.99000
1993-04-03,StrGlo,W/m2,57.64000
1993-04-03,T,°C,5.44000
1993-04-03,p,hPa,960.09000
1993-04-03,T_max_h1,°C,7.37000
1993-04-04,StrGlo,W/m2,82.30000
1993-04-04,T,°C,5.33000
1993-04-04,p,hPa,959.55000
1993-04-04,T_max_h1,°C,6.71000
1993-04-05,StrGlo,W/m2,198.68000
1993-04-05,T,°C,6.93000
1993-04-05,p,hPa,962.30000
1993-04-05,T_max_h1,°C,11.71000
1993-04-06,StrGlo,W/m2,110.37000
1993-04-06,T,°C,9.40000
1993-04-06,p,hPa,957.89000
1993-04-06,T_max_h1,°C,13.55000
1993-04-07,StrGlo,W/m2,80.91000
1993-04-07,T,°C,8.21000
1993-04-07,p,hPa,960.41000
1993-04-07,T_max_h1,°C,10.61000
1993-04-08,StrGlo,W/m2,103.05000
1993-04-08,T,°C,7.49000
1993-04-08,p,hPa,963.51000
1993-04-08,T_max_h1,°C,10.16000
1993-04-09,StrGlo,W/m2,222.39000
1993-04-09,T,°C,9.88000
1993-04-09,p,hPa,962.83000
1993-04-09,T_max_h1,°C,15.70000
1993-04-10,StrGlo,W/m2,46.59000
1993-04-10,T,°C,9.92000
1993-04-10,p,hPa,958.39000
1993-04-10,T_max_h1,°C,11.72000
1993-04-11,StrGlo,W/m2,95.58000
1993-04-11,T,°C,8.52000
1993-04-11,p,hPa,953.90000
1993-04-11,T_max_h1,°C,10.49000
1993-04-12,StrGlo,W/m2,127.82000
1993-04-12,T,°C,8.26000
1993-04-12,p,hPa,950.96000
1993-04-12,T_max_h1,°C,11.47000
1993-04-13,StrGlo,W/m2,135.80000
1993-04-13,T,°C,7.92000
1993-04-13,p,hPa,950.20000
1993-04-13,T_max_h1,°C,12.71000
1993-04-14,StrGlo,W/m2,195.07000
1993-04-14,T,°C,10.81000
1993-04-14,p,hPa,957.40000
1993-04-14,T_max_h1,°C,14.89000
1993-04-15,StrGlo,W/m2,202.03000
1993-04-15,T,°C,9.84000
1993-04-15,p,hPa,959.45000
1993-04-15,T_max_h1,°C,13.99000
1993-04-16,StrGlo,W/m2,143.56000
1993-04-16,T,°C,9.31000
1993-04-16,p,hPa,967.20000
1993-04-16,T_max_h1,°C,12.96000
1993-04-17,StrGlo,W/m2,139.36000
1993-04-17,T,°C,9.07000
1993-04-17,p,hPa,969.27000
1993-04-17,T_max_h1,°C,11.66000
1993-04-18,StrGlo,W/m2,82.65000
1993-04-18,T,°C,10.95000
1993-04-18,p,hPa,968.93000
1993-04-18,T_max_h1,°C,13.94000
1993-04-19,StrGlo,W/m2,222.42000
1993-04-19,T,°C,13.93000
1993-04-19,p,hPa,968.48000
1993-04-19,T_max_h1,°C,17.45000
1993-04-20,StrGlo,W/m2,270.50000
1993-04-20,T,°C,15.45000
1993-04-20,p,hPa,965.37000
1993-04-20,T_max_h1,°C,22.14000
1993-04-21,StrGlo,W/m2,260.79000
1993-04-21,T,°C,17.66000
1993-04-21,p,hPa,960.84000
1993-04-21,T_max_h1,°C,23.54000
1993-04-22,T,°C,17.90000
1993-04-22,p,hPa,960.09000
1993-04-22,StrGlo,W/m2,240.17000
1993-04-22,T_max_h1,°C,23.78000
1993-04-23,StrGlo,W/m2,245.37000
1993-04-23,T,°C,16.96000
1993-04-23,p,hPa,959.22000
1993-04-23,T_max_h1,°C,22.15000
1993-04-24,StrGlo,W/m2,244.12000
1993-04-24,T,°C,17.40000
1993-04-24,p,hPa,952.70000
1993-04-24,T_max_h1,°C,22.66000
1993-04-25,StrGlo,W/m2,189.67000
1993-04-25,T,°C,17.86000
1993-04-25,p,hPa,951.29000
1993-04-25,T_max_h1,°C,22.66000
1993-04-26,StrGlo,W/m2,253.37000
1993-04-26,T,°C,16.54000
1993-04-26,p,hPa,957.58000
1993-04-26,T_max_h1,°C,21.77000
1993-04-27,StrGlo,W/m2,257.83000
1993-04-27,T,°C,20.21000
1993-04-27,p,hPa,958.55000
1993-04-27,T_max_h1,°C,27.25000
1993-04-28,StrGlo,W/m2,243.30000
1993-04-28,T,°C,19.57000
1993-04-28,p,hPa,955.72000
1993-04-28,T_max_h1,°C,25.14000
1993-04-29,StrGlo,W/m2,265.55000
1993-04-29,T,°C,18.34000
1993-04-29,p,hPa,958.40000
1993-04-29,T_max_h1,°C,22.92000
1993-04-30,StrGlo,W/m2,207.61000
1993-04-30,T,°C,15.46000
1993-04-30,p,hPa,957.75000
1993-04-30,T_max_h1,°C,21.97000
1993-05-01,StrGlo,W/m2,254.55000
1993-05-01,T,°C,13.86000
1993-05-01,p,hPa,958.36000
1993-05-01,T_max_h1,°C,18.44000
1993-05-02,StrGlo,W/m2,183.16000
1993-05-02,T,°C,13.84000
1993-05-02,p,hPa,959.05000
1993-05-02,T_max_h1,°C,17.85000
1993-05-03,StrGlo,W/m2,166.83000
1993-05-03,T,°C,14.10000
1993-05-03,p,hPa,966.28000
1993-05-03,T_max_h1,°C,18.54000
1993-05-04,StrGlo,W/m2,133.03000
1993-05-04,T,°C,13.76000
1993-05-04,p,hPa,970.25000
1993-05-04,T_max_h1,°C,15.79000
1993-05-05,StrGlo,W/m2,90.20000
1993-05-05,T,°C,12.27000
1993-05-05,p,hPa,966.26000
1993-05-05,T_max_h1,°C,13.23000
1993-05-06,StrGlo,W/m2,81.72000
1993-05-06,T,°C,11.03000
1993-05-06,p,hPa,963.29000
1993-05-06,T_max_h1,°C,12.53000
1993-05-07,StrGlo,W/m2,114.16000
1993-05-07,T,°C,12.66000
1993-05-07,p,hPa,963.27000
1993-05-07,T_max_h1,°C,15.04000
1993-05-08,StrGlo,W/m2,247.76000
1993-05-08,T,°C,15.53000
1993-05-08,p,hPa,963.14000
1993-05-08,T_max_h1,°C,20.72000
1993-05-09,StrGlo,W/m2,272.23000
1993-05-09,T,°C,16.95000
1993-05-09,p,hPa,962.47000
1993-05-09,T_max_h1,°C,22.91000
1993-05-10,StrGlo,W/m2,284.94000
1993-05-10,T,°C,18.23000
1993-05-10,p,hPa,962.44000
1993-05-10,T_max_h1,°C,23.76000
1993-05-11,StrGlo,W/m2,183.30000
1993-05-11,T,°C,18.78000
1993-05-11,p,hPa,959.61000
1993-05-11,T_max_h1,°C,23.91000
1993-05-12,StrGlo,W/m2,150.52000
1993-05-12,T,°C,15.88000
1993-05-12,p,hPa,956.11000
1993-05-12,T_max_h1,°C,19.22000
1993-05-13,StrGlo,W/m2,175.16000
1993-05-13,T,°C,15.73000
1993-05-13,p,hPa,948.56000
1993-05-13,T_max_h1,°C,19.44000
1993-05-14,StrGlo,W/m2,179.98000
1993-05-14,T,°C,14.74000
1993-05-14,p,hPa,950.47000
1993-05-14,T_max_h1,°C,18.26000
1993-05-15,StrGlo,W/m2,204.30000
1993-05-15,T,°C,14.57000
1993-05-15,p,hPa,957.46000
1993-05-15,T_max_h1,°C,19.84000
1993-05-16,StrGlo,W/m2,175.75000
1993-05-16,T,°C,13.78000
1993-05-16,p,hPa,966.36000
1993-05-16,T_max_h1,°C,17.18000
1993-05-17,StrGlo,W/m2,299.97000
1993-05-17,T,°C,17.65000
1993-05-17,p,hPa,962.50000
1993-05-17,T_max_h1,°C,24.52000
1993-05-18,StrGlo,W/m2,254.32000
1993-05-18,T,°C,19.22000
1993-05-18,p,hPa,958.69000
1993-05-18,T_max_h1,°C,24.69000
1993-05-19,StrGlo,W/m2,258.58000
1993-05-19,T,°C,19.05000
1993-05-19,p,hPa,959.51000
1993-05-19,T_max_h1,°C,24.12000
1993-05-20,StrGlo,W/m2,248.95000
1993-05-20,T,°C,17.84000
1993-05-20,p,hPa,960.86000
1993-05-20,T_max_h1,°C,24.21000
1993-05-21,StrGlo,W/m2,59.63000
1993-05-21,T,°C,10.10000
1993-05-21,p,hPa,967.33000
1993-05-21,T_max_h1,°C,13.62000
1993-05-22,StrGlo,W/m2,318.46000
1993-05-22,T,°C,13.52000
1993-05-22,p,hPa,965.40000
1993-05-22,T_max_h1,°C,18.66000
1993-05-23,StrGlo,W/m2,312.95000
1993-05-23,T,°C,17.38000
1993-05-23,p,hPa,965.22000
1993-05-23,T_max_h1,°C,23.12000
1993-05-24,StrGlo,W/m2,232.89000
1993-05-24,T,°C,19.32000
1993-05-24,p,hPa,964.17000
1993-05-24,T_max_h1,°C,24.95000
1993-05-25,StrGlo,W/m2,297.02000
1993-05-25,T,°C,22.16000
1993-05-25,p,hPa,961.66000
1993-05-25,T_max_h1,°C,28.68000
1993-05-26,StrGlo,W/m2,261.80000
1993-05-26,T,°C,22.88000
1993-05-26,p,hPa,956.97000
1993-05-26,T_max_h1,°C,29.81000
1993-05-27,StrGlo,W/m2,190.09000
1993-05-27,T,°C,19.15000
1993-05-27,p,hPa,955.11000
1993-05-27,T_max_h1,°C,23.99000
1993-05-28,StrGlo,W/m2,187.03000
1993-05-28,T,°C,14.62000
1993-05-28,p,hPa,961.20000
1993-05-28,T_max_h1,°C,17.25000
1993-05-29,StrGlo,W/m2,289.46000
1993-05-29,T,°C,16.90000
1993-05-29,p,hPa,963.64000
1993-05-29,T_max_h1,°C,21.32000
1993-05-30,StrGlo,W/m2,182.58000
1993-05-30,T,°C,16.92000
1993-05-30,p,hPa,961.43000
1993-05-30,T_max_h1,°C,23.23000
1993-05-31,StrGlo,W/m2,251.39000
1993-05-31,T,°C,16.79000
1993-05-31,p,hPa,966.47000
1993-05-31,T_max_h1,°C,20.72000
1993-06-01,StrGlo,W/m2,306.11000
1993-06-01,T,°C,18.86000
1993-06-01,p,hPa,963.98000
1993-06-01,T_max_h1,°C,24.61000
1993-06-02,StrGlo,W/m2,146.78000
1993-06-02,T,°C,16.90000
1993-06-02,p,hPa,962.15000
1993-06-02,T_max_h1,°C,21.27000
1993-06-03,StrGlo,W/m2,162.44000
1993-06-03,T,°C,14.62000
1993-06-03,p,hPa,963.96000
1993-06-03,T_max_h1,°C,17.55000
1993-06-04,StrGlo,W/m2,246.40000
1993-06-04,T,°C,16.50000
1993-06-04,p,hPa,964.18000
1993-06-04,T_max_h1,°C,20.26000
1993-06-05,StrGlo,W/m2,253.25000
1993-06-05,T,°C,19.04000
1993-06-05,p,hPa,965.80000
1993-06-05,T_max_h1,°C,24.50000
1993-06-06,StrGlo,W/m2,317.29000
1993-06-06,T,°C,22.32000
1993-06-06,p,hPa,965.94000
1993-06-06,T_max_h1,°C,27.87000
1993-06-07,StrGlo,W/m2,313.88000
1993-06-07,T,°C,23.73000
1993-06-07,p,hPa,964.59000
1993-06-07,T_max_h1,°C,28.87000
1993-06-08,StrGlo,W/m2,309.09000
1993-06-08,T,°C,23.92000
1993-06-08,p,hPa,962.65000
1993-06-08,T_max_h1,°C,28.51000
1993-06-09,StrGlo,W/m2,295.62000
1993-06-09,T,°C,24.27000
1993-06-09,p,hPa,959.83000
1993-06-09,T_max_h1,°C,29.67000
1993-06-10,StrGlo,W/m2,186.58000
1993-06-10,T,°C,21.75000
1993-06-10,p,hPa,959.46000
1993-06-10,T_max_h1,°C,26.12000
1993-06-11,StrGlo,W/m2,61.19000
1993-06-11,T,°C,15.50000
1993-06-11,p,hPa,961.96000
1993-06-11,T_max_h1,°C,19.82000
1993-06-12,StrGlo,W/m2,256.44000
1993-06-12,T,°C,13.86000
1993-06-12,p,hPa,962.52000
1993-06-12,T_max_h1,°C,16.82000
1993-06-13,StrGlo,W/m2,131.81000
1993-06-13,T,°C,13.22000
1993-06-13,p,hPa,961.98000
1993-06-13,T_max_h1,°C,15.18000
1993-06-14,StrGlo,W/m2,113.91000
1993-06-14,T,°C,14.09000
1993-06-14,p,hPa,965.89000
1993-06-14,T_max_h1,°C,17.93000
1993-06-15,StrGlo,W/m2,131.64000
1993-06-15,T,°C,15.43000
1993-06-15,p,hPa,967.75000
1993-06-15,T_max_h1,°C,18.54000
1993-06-16,StrGlo,W/m2,280.03000
1993-06-16,T,°C,18.78000
1993-06-16,p,hPa,969.22000
1993-06-16,T_max_h1,°C,23.37000
1993-06-17,StrGlo,W/m2,140.41000
1993-06-17,T,°C,16.81000
1993-06-17,p,hPa,967.81000
1993-06-17,T_max_h1,°C,19.42000
1993-06-18,StrGlo,W/m2,318.03000
1993-06-18,T,°C,18.95000
1993-06-18,p,hPa,968.14000
1993-06-18,T_max_h1,°C,24.51000
1993-06-19,StrGlo,W/m2,319.52000
1993-06-19,T,°C,22.99000
1993-06-19,p,hPa,964.98000
1993-06-19,T_max_h1,°C,29.18000
1993-06-20,StrGlo,W/m2,202.99000
1993-06-20,T,°C,20.70000
1993-06-20,p,hPa,965.05000
1993-06-20,T_max_h1,°C,23.57000
1993-06-21,StrGlo,W/m2,168.16000
1993-06-21,T,°C,18.96000
1993-06-21,p,hPa,962.54000
1993-06-21,T_max_h1,°C,22.52000
1993-06-22,StrGlo,W/m2,181.45000
1993-06-22,T,°C,17.91000
1993-06-22,p,hPa,959.80000
1993-06-22,T_max_h1,°C,22.53000
1993-06-23,StrGlo,W/m2,148.03000
1993-06-23,T,°C,17.38000
1993-06-23,p,hPa,958.60000
1993-06-23,T_max_h1,°C,21.19000
1993-06-24,StrGlo,W/m2,195.07000
